Date,0
2015-10-12,
2015-10-13,
2015-10-14,
2015-10-15,
2015-10-16,"(2, 1, 2, 1)"
2015-10-19,"(2, 1, 2, 1)"
2015-10-20,"(3, 1, 2, 1)"
2015-10-21,"(2, 1, 2, 1)"
2015-10-22,"(2, 1, 2, 1)"
2015-10-23,"(2, 1, 2, 1)"
2015-10-26,"(3, 1, 2, 1)"
2015-10-27,"(4, 1, 2, 1)"
2015-10-28,"(3, 1, 2, 1)"
2015-10-29,"(2, 1, 2, 1)"
2015-10-30,"(2, 1, 2, 1)"
2015-11-02,"(2, 1, 2, 1)"
2015-11-03,"(2, 1, 2, 1)"
2015-11-04,"(2, 1, 2, 1)"
2015-11-05,"(3, 1, 2, 1)"
2015-11-06,"(3, 1, 2, 1)"
2015-11-09,"(6, 1, 2, 1)"
2015-11-10,
2015-11-11,
2015-11-12,
2015-11-13,
2015-11-16,"(9, 1, 2, 1)"
2015-11-17,
2015-11-18,
2015-11-19,"(2, 1, 2, 1)"
2015-11-20,"(2, 1, 2, 1)"
2015-11-23,"(3, 1, 2, 1)"
2015-11-24,"(2, 1, 2, 1)"
2015-11-25,"(3, 1, 2, 1)"
2015-11-27,"(4, 1, 2, 1)"
2015-11-30,"(5, 1, 2, 1)"
2015-12-01,"(8, 1, 2, 1)"
2015-12-02,
2015-12-03,
2015-12-04,
2015-12-07,"(2, 1, 2, 1)"
2015-12-08,"(3, 1, 2, 1)"
2015-12-09,"(4, 1, 2, 1)"
2015-12-10,"(4, 1, 2, 1)"
2015-12-11,
2015-12-14,
2015-12-15,
2015-12-16,"(8, 1, 2, 1)"
2015-12-17,
2015-12-18,
2015-12-21,
2015-12-22,
2015-12-23,
2015-12-24,"(2, 1, 2, 1)"
2015-12-28,
2015-12-29,"(3, 1, 2, 1)"
2015-12-30,"(2, 1, 2, 1)"
2015-12-31,
2016-01-04,"(3, 1, 2, 1)"
2016-01-05,
2016-01-06,
2016-01-07,
2016-01-08,
2016-01-11,
2016-01-12,"(2, 1, 2, 1)"
2016-01-13,"(3, 1, 2, 1)"
2016-01-14,"(2, 1, 2, 1)"
2016-01-15,
2016-01-19,
2016-01-20,
2016-01-21,
2016-01-22,
2016-01-25,"(2, 1, 2, 1)"
2016-01-26,"(2, 1, 2, 1)"
2016-01-27,
2016-01-28,"(4, 1, 2, 1)"
2016-01-29,"(5, 1, 2, 1)"
2016-02-01,"(2, 1, 2, 1)"
2016-02-02,"(7, 1, 2, 1)"
2016-02-03,"(8, 1, 2, 1)"
2016-02-04,"(9, 1, 2, 1)"
2016-02-05,"(3, 1, 2, 1)"
2016-02-08,"(2, 1, 2, 1)"
2016-02-09,"(3, 1, 2, 1)"
2016-02-10,
2016-02-11,
2016-02-12,
2016-02-16,
2016-02-17,"(2, 1, 2, 1)"
2016-02-18,"(3, 1, 2, 1)"
2016-02-19,"(4, 1, 2, 1)"
2016-02-22,"(3, 1, 2, 1)"
2016-02-23,"(6, 1, 2, 1)"
2016-02-24,"(2, 1, 2, 1)"
2016-02-25,"(6, 1, 2, 1)"
2016-02-26,"(2, 1, 2, 1)"
2016-02-29,"(3, 1, 2, 1)"
2016-03-01,"(2, 1, 2, 1)"
2016-03-02,"(2, 1, 2, 1)"
2016-03-03,"(2, 1, 2, 1)"
2016-03-04,"(2, 1, 2, 1)"
2016-03-07,"(2, 1, 2, 1)"
2016-03-08,"(4, 1, 2, 1)"
2016-03-09,"(3, 1, 2, 1)"
2016-03-10,"(4, 1, 2, 1)"
2016-03-11,"(2, 1, 2, 1)"
2016-03-14,"(2, 1, 2, 1)"
2016-03-15,"(2, 1, 2, 1)"
2016-03-16,"(2, 1, 2, 1)"
2016-03-17,"(2, 1, 2, 1)"
2016-03-18,"(2, 1, 2, 1)"
2016-03-21,"(3, 1, 2, 1)"
2016-03-22,"(4, 1, 2, 1)"
2016-03-23,"(2, 1, 2, 1)"
2016-03-24,"(7, 1, 2, 1)"
2016-03-28,"(8, 1, 2, 1)"
2016-03-29,"(4, 1, 2, 1)"
2016-03-30,"(2, 1, 2, 1)"
2016-03-31,"(2, 1, 2, 1)"
2016-04-01,"(2, 1, 2, 1)"
2016-04-04,"(2, 1, 2, 1)"
2016-04-05,"(3, 1, 2, 1)"
2016-04-06,"(2, 1, 2, 1)"
2016-04-07,"(7, 1, 2, 1)"
2016-04-08,"(4, 1, 2, 1)"
2016-04-11,"(5, 1, 2, 1)"
2016-04-12,"(2, 1, 2, 1)"
2016-04-13,"(2, 1, 2, 1)"
2016-04-14,"(2, 1, 2, 1)"
2016-04-15,"(4, 1, 2, 1)"
2016-04-18,
2016-04-19,
2016-04-20,"(4, 1, 2, 1)"
2016-04-21,
2016-04-22,
2016-04-25,
2016-04-26,
2016-04-27,
2016-04-28,
2016-04-29,
2016-05-02,
2016-05-03,
2016-05-04,"(2, 1, 2, 1)"
2016-05-05,"(3, 1, 2, 1)"
2016-05-06,
2016-05-09,
2016-05-10,
2016-05-11,
2016-05-12,
2016-05-13,"(3, 1, 2, 1)"
2016-05-16,
2016-05-17,"(2, 1, 2, 1)"
2016-05-18,"(2, 1, 2, 1)"
2016-05-19,"(2, 1, 2, 1)"
2016-05-20,"(2, 1, 2, 1)"
2016-05-23,"(2, 1, 2, 1)"
2016-05-24,"(2, 1, 2, 1)"
2016-05-25,"(2, 1, 2, 1)"
2016-05-26,"(2, 1, 2, 1)"
2016-05-27,"(2, 1, 2, 1)"
2016-05-31,"(3, 1, 2, 1)"
2016-06-01,"(5, 1, 2, 1)"
2016-06-02,"(7, 1, 2, 1)"
2016-06-03,"(5, 1, 2, 1)"
2016-06-06,"(6, 1, 2, 1)"
2016-06-07,"(2, 1, 2, 1)"
2016-06-08,"(2, 1, 2, 1)"
2016-06-09,"(2, 1, 2, 1)"
2016-06-10,"(4, 1, 2, 1)"
2016-06-13,
2016-06-14,"(3, 1, 2, 1)"
2016-06-15,
2016-06-16,"(5, 1, 2, 1)"
2016-06-17,
2016-06-20,
2016-06-21,"(3, 1, 2, 1)"
2016-06-22,"(2, 1, 2, 1)"
2016-06-23,"(2, 1, 2, 1)"
2016-06-24,
2016-06-27,
2016-06-28,"(3, 1, 2, 1)"
2016-06-29,"(2, 1, 2, 1)"
2016-06-30,"(2, 1, 2, 1)"
2016-07-01,"(2, 1, 2, 1)"
2016-07-05,"(3, 1, 2, 1)"
2016-07-06,"(2, 1, 2, 1)"
2016-07-07,"(3, 1, 2, 1)"
2016-07-08,"(2, 1, 2, 1)"
2016-07-11,"(2, 1, 2, 1)"
2016-07-12,"(2, 1, 2, 1)"
2016-07-13,"(3, 1, 2, 1)"
2016-07-14,"(2, 1, 2, 1)"
2016-07-15,"(2, 1, 2, 1)"
2016-07-18,"(2, 1, 2, 1)"
2016-07-19,"(2, 1, 2, 1)"
2016-07-20,"(2, 1, 2, 1)"
2016-07-21,"(4, 1, 2, 1)"
2016-07-22,"(7, 1, 2, 1)"
2016-07-25,"(8, 1, 2, 1)"
2016-07-26,
2016-07-27,"(5, 1, 2, 1)"
2016-07-28,"(2, 1, 2, 1)"
2016-07-29,"(2, 1, 2, 1)"
2016-08-01,"(2, 1, 2, 1)"
2016-08-02,"(2, 1, 2, 1)"
2016-08-03,"(2, 1, 2, 1)"
2016-08-04,"(3, 1, 2, 1)"
2016-08-05,"(2, 1, 2, 1)"
2016-08-08,"(2, 1, 2, 1)"
2016-08-09,"(2, 1, 2, 1)"
2016-08-10,"(3, 1, 2, 1)"
2016-08-11,"(4, 1, 2, 1)"
2016-08-12,"(3, 1, 2, 1)"
2016-08-15,"(2, 1, 2, 1)"
2016-08-16,"(2, 1, 2, 1)"
2016-08-17,"(3, 1, 2, 1)"
2016-08-18,"(4, 1, 2, 1)"
2016-08-19,"(4, 1, 2, 1)"
2016-08-22,"(6, 1, 2, 1)"
2016-08-23,"(2, 1, 2, 1)"
2016-08-24,"(9, 1, 2, 1)"
2016-08-25,
2016-08-26,
2016-08-29,
2016-08-30,
2016-08-31,
2016-09-01,
2016-09-02,"(2, 1, 2, 1)"
2016-09-06,"(2, 1, 2, 1)"
2016-09-07,"(2, 1, 2, 1)"
2016-09-08,
2016-09-09,
2016-09-12,"(3, 1, 2, 1)"
2016-09-13,"(4, 1, 2, 1)"
2016-09-14,"(2, 1, 2, 1)"
2016-09-15,"(2, 1, 2, 1)"
2016-09-16,"(2, 1, 2, 1)"
2016-09-19,"(3, 1, 2, 1)"
2016-09-20,"(4, 1, 2, 1)"
2016-09-21,"(5, 1, 2, 1)"
2016-09-22,"(5, 1, 2, 1)"
2016-09-23,"(7, 1, 2, 1)"
2016-09-26,"(2, 1, 2, 1)"
2016-09-27,"(3, 1, 2, 1)"
2016-09-28,"(2, 1, 2, 1)"
2016-09-29,
2016-09-30,"(2, 1, 2, 1)"
2016-10-03,"(3, 1, 2, 1)"
2016-10-04,
2016-10-05,
2016-10-06,"(2, 1, 2, 1)"
2016-10-07,"(2, 1, 2, 1)"
2016-10-10,"(2, 1, 2, 1)"
2016-10-11,"(2, 1, 2, 1)"
2016-10-12,"(2, 1, 2, 1)"
2016-10-13,"(2, 1, 2, 1)"
2016-10-14,"(2, 1, 2, 1)"
2016-10-17,"(2, 1, 2, 1)"
2016-10-18,"(3, 1, 2, 1)"
2016-10-19,"(4, 1, 2, 1)"
2016-10-20,"(5, 1, 2, 1)"
2016-10-21,"(8, 1, 2, 1)"
2016-10-24,"(6, 1, 2, 1)"
2016-10-25,"(2, 1, 2, 1)"
2016-10-26,
2016-10-27,
2016-10-28,
2016-10-31,
2016-11-01,
2016-11-02,"(6, 1, 2, 1)"
2016-11-03,
2016-11-04,
2016-11-07,"(9, 1, 2, 1)"
2016-11-08,"(2, 1, 2, 1)"
2016-11-09,"(2, 1, 2, 1)"
2016-11-10,
