,cluster_0,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7
avg_similarity,0.49167492125457724,0.32353122098674414,0.5941729968055606,0.36258806874845634,0.31279373332014165,0.2333386479272291,0.6576877252113956,0.2674052172436197
nr_of_rows,11.0,30.0,17.0,37.0,14.0,28.0,12.0,25.0
avg_Total Return [%]_mean,133.9235400481097,73.10968883096311,144.78335092266605,56.70466537964605,84.0484919270704,82.8144685075121,95.56704389207647,89.74919164942919
avg_Sharpe Ratio_mean,1.1570003607770663,0.9934593458363895,1.1450364724799207,0.8328490230160456,1.0738195962514996,0.9618753738829946,0.8958513804321364,1.0665100603725621
avg_Max Drawdown [%]_mean,23.193911912687092,18.873548780296183,27.242361470133726,20.074219609587328,18.78838946433091,23.8199746167764,27.299033017181205,19.92523490162922
avg_Total Trades_mean,51.98181818181818,39.35777777777777,56.90588235294118,36.079279279279284,39.60952380952381,31.919047619047625,69.47777777777779,38.23466666666667
avg_Total Return [%]_std_perc,0.6887332710689761,0.505717820338742,0.7215361685079983,0.572380922742078,0.4745358195381126,0.5883145139543985,0.8863048188639352,0.603343367818865
avg_Sharpe Ratio_std_perc,0.36043646667670903,0.31978014203170724,0.3887663247315882,0.4031511654713933,0.29823541456922614,0.3486350660817113,0.510394296251097,0.45161630866380764
min_Sharpe Ratio_min,0.33388890200996313,0.20966867639682962,0.11900711915082411,0.07179694124105486,0.3809993307524499,0.2123683340782244,0.13755282046010753,0.10587829081650406
min_Total Return [%]_min,15.387518519876094,5.864472612096691,0.9801445238511236,0.062178917312820665,23.536754455768587,4.829431612759308,0.6110258012615049,0.13646776079575318
min_Total Trades_min,42.0,20.0,40.0,19.0,27.0,24.0,49.0,25.0
max_Max Drawdown [%]_max,39.5634211156901,34.644269586576634,53.80620268713795,37.33415481509316,30.803858568827497,41.18133775602777,56.47868558662113,35.3541717731038
max_Sharpe Ratio_std_perc,0.46590624620488985,0.3586369428743061,0.46399486308120214,0.4654012778319731,0.32301795012604995,0.4097528071957255,0.6598301326548057,0.49827818117448586
max_Total Return [%]_std_perc,0.8313299608711463,0.5710212220512163,1.0215305717153793,0.6885265460974411,0.5671644192035914,0.718118341039894,1.076479051898177,0.8288398989511696
unique_cnt_custom_window_entry,5.0,4.0,5.0,7.0,2.0,3.0,5.0,4.0
unique_cnt_custom_hh_hl_counts,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
unique_cnt_custom_window_exit,4.0,8.0,4.0,9.0,6.0,7.0,3.0,8.0
unique_cnt_custom_lh_counts,3.0,5.0,4.0,5.0,4.0,5.0,3.0,5.0
value_counts_custom_window_entry_1,1.0,,2.0,,,,1.0,
value_counts_custom_window_entry_2,2.0,,3.0,,,,1.0,
value_counts_custom_window_entry_3,2.0,,6.0,1.0,,,7.0,
value_counts_custom_window_entry_4,4.0,,2.0,3.0,,,1.0,1.0
value_counts_custom_window_entry_5,2.0,21.0,4.0,5.0,12.0,,2.0,2.0
value_counts_custom_window_entry_6,,3.0,,4.0,,,,19.0
value_counts_custom_hh_hl_counts_1,2.0,,11.0,,,,8.0,
value_counts_custom_hh_hl_counts_2,9.0,17.0,6.0,11.0,8.0,26.0,4.0,20.0
value_counts_custom_hh_hl_counts_3,,13.0,,26.0,6.0,2.0,,5.0
value_counts_custom_hh_hl_counts_4,,,,,,,,
value_counts_custom_hh_hl_counts_5,,,,,,,,
value_counts_custom_hh_hl_counts_6,,,,,,,,
value_counts_custom_window_exit_1,,,,2.0,,,,
value_counts_custom_window_exit_2,,2.0,,3.0,,,4.0,2.0
value_counts_custom_window_exit_3,1.0,2.0,1.0,6.0,,1.0,5.0,3.0
value_counts_custom_window_exit_4,1.0,3.0,6.0,6.0,2.0,1.0,3.0,1.0
value_counts_custom_window_exit_5,8.0,4.0,7.0,1.0,4.0,3.0,,3.0
value_counts_custom_window_exit_6,1.0,8.0,3.0,8.0,2.0,4.0,,4.0
value_counts_custom_lh_counts_1,,4.0,1.0,10.0,5.0,7.0,3.0,7.0
value_counts_custom_lh_counts_2,,4.0,1.0,11.0,3.0,5.0,5.0,5.0
value_counts_custom_lh_counts_3,1.0,5.0,,7.0,,4.0,4.0,3.0
value_counts_custom_lh_counts_4,5.0,10.0,10.0,5.0,3.0,7.0,,7.0
value_counts_custom_lh_counts_5,5.0,7.0,5.0,4.0,3.0,5.0,,3.0
value_counts_custom_lh_counts_6,,,,,,,,
